Title,Company,Location,Salary,JobType,DatePosted,URL,CompanyLogo,Description
Personal Assistant CEO,Orderkuota,Mojokerto,Rp 5.000.000 – Rp 6.250.000 per month,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84337373?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/c08baf13-d9b2-4452-b9a9-5583b44e833b.1/serpLogo,"Aplikasi Orderkuota, perusahaan teknologi finansial (fintech) yang berfokus pada layanan server pulsa dan penjualan produk digital, membutuhkan Personal Assistant yang kompeten dan berdedikasi untuk mendukung CEO.Responsibilities:Mengatur dan mengelola agenda, jadwal rapat, serta perjalanan bisnis CEO.Menyiapkan materi, notulen rapat (MOM), dan laporan yang dibutuhkan oleh CEO.Bekerja sama dengan tim administrasi dan tim lain untuk kelancaran operasional.Membantu CEO dalam pengelolaan proyek dengan membuat timeline, mengatur rapat tim, serta melakukan pelacakan (tracking) kemajuan.Menangani korespondensi email, telepon, dan komunikasi lainnya secara profesional atas nama CEO.Melakukan riset dasar terkait industri fintech, pasar, atau sesuai kebutuhan CEO.Menjaga kerahasiaan semua dokumen dan informasi penting perusahaan maupun pribadi CEO.Mendukung kebutuhan administratif dan personal CEO lainnya yang relevan dengan tugas.Proaktif dalam mengantisipasi kebutuhan dan memberikan solusi untuk mendukung efektivitas kerja CEO.Qualifications:Maksimal Usia 28 Tahun, Pendidikan minimal S1 dari semua jurusan.Pengalaman sebagai Personal Assistant, Executive Assistant, atau peran administratif serupa, diutamakan di perusahaan teknologi/fintech.Diutamakan Mojokerto dan sekitarnya.Memiliki Kemampuan organisasi dan manajemen waktu yang sangat baik.Mahir dalam menggunakan aplikasi perkantoran (Google Workspace, Microsoft Office Suite) dan project management tools.Memiliki minat dan pemahaman dasar tentang industri fintech, khususnya layanan server pulsa dan produk digital.Kemampuan untuk menganalisis informasi dan membuat laporan ringkas.Dapat bergabung secepatnya.Requirements:Memiliki kemampuan Lancar berbahasa Inggris, baik lisan maupun tulisan.Keterampilan komunikasi yang baik dan profesional.Memiliki Inisiatif tinggi, rajin, dan memiliki perhatian terhadap detail.Kemampuan untuk menangani banyak tugas secara bersamaan dan tetap terorganisir.Mampu bekerja secara mandiri maupun dalam tim.Menunjukkan pendekatan pemecahan masalah secara proaktif.Memiliki Integritas tinggi dan dapat dipercaya dalam menjaga kerahasiaan.Bersedia bekerja dengan jam kerja yang fleksibel jika dibutuhkan."
Digital Marketing Ecommerce,PT Eblo Teknologi Indonesia,Jakarta Selatan,Rp 4.800.000 – Rp 5.800.000 per month,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84319817?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/27065ab1-dd81-4a2d-8d1e-f83b599e1355.1/serpLogo,"Take charge of any e-commerce platform such as shopee ads, tokopedia ads, tiktok ads, etc. managing budgets and optimizing ROI.Manage & allocate budget effectively, ensuring optimal spending for maximum ROI.Identify trends & insight and optimize budgets based on performance on the insight.Data analytics, analyse data to make actionable strategies to maximize the impactConducting keywords research, selecting relevant & high performing keywords to improve ad visibilityAssesing important metrics, target audiences, and latest trends affecting the industryDoing a market research on other brands/competitors in terms of the price or keywords they use for ads."
Mechanical Engineering,PT Donlim Technology Indonesia,Demak,Rp 4.000.000 – Rp 6.000.000 per month,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84325270?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/6fde9dbf-ab56-4b6c-85e9-dd5c73fc8c1b.1/serpLogo,"Gambaran Umum PekerjaanKami membuka lowongan untuk posisi Mechanical Engineer yang akan bertanggung jawab dalam perancangan, pengembangan, serta pemeliharaan sistem dan komponen mekanik di lingkungan produksi.Tanggung Jawab UtamaMerancang, mengembangkan, dan menguji sistem, komponen, atau proses mekanis sesuai dengan spesifikasi produk dan standar industri.Menganalisis desain, spesifikasi, dan persyaratan teknis untuk mengoptimalkan efisiensi, keandalan, dan kinerja produk.Mengawasi dan mengkoordinasikan pembuatan purwarupa, pengujian, dan perakitan komponen produksi.Mengidentifikasi masalah, menganalisis data, dan memberikan solusi inovatif untuk meningkatkan kualitas, produktivitas, dan efisiensi proses manufaktur.Menyusun laporan kerja dan dokumentasi teknis secara berkalaBerkoordinasi dengan tim lintas fungsi, termasuk tim Produksi, Perancangan, dan Perencanaan, untuk memastikan pelaksanaan proyek yang efektif.Keterampilan, Kualifikasi, dan Pengalaman yang DibutuhkanPendidikan minimal D3/D4/S1 dari jurusan Teknik Mesin atau bidang terkaitMemiliki pengalaman kerja sebagai Mechanical Engineer di lingkungan manufaktur atau industri teknologi.Memahami prinsip-prinsip teknik mekanis, termasuk desain, analisis, dan pembuatan komponen.Pengalaman dalam penggunaan perangkat lunak CAD/CAM, simulasi, dan analisis data teknis.Kemampuan memecahkan masalah secara sistematis, berpikir kritis, dan membuat keputusan yang tepat.Terampil dalam berkomunikasi secara efektif, baik secara lisan maupun tertulis, dengan berbagai pemangku kepentingan.Memiliki pengetahuan tentang praktik manufaktur terbaik dan standar industri terkait.Manfaat UtamaGaji kompetitif dan tunjangan yang menarik.Peluang pengembangan karier yang luas dalam lingkungan kerja yang dinamis dan inovatif.BPJS Kesehatan dan BPJS KetenagakerjaanUang LemburLingkungan kerja yang inklusif dan mendukung, yang memprioritaskan keseimbangan kehidupan kerja.Kesempatan untuk berkolaborasi dengan tim multidisiplin dan berkontribusi pada proyek-proyek strategis perusahaan."
Staf Teknologi Informasi (TI),PT. Bina Karsa Swadaya,Jakarta Raya,Not specified,Full time,13 hari yang lalu,https://id.jobstreet.com/id/job/84059570?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/032200c3-c77c-4606-96ea-a094f29c8c0c.1/serpLogo,"Kualifikasi :Pendidikan minimal  D3Usia maksimal 40 (empat puluh lima) tahunBerpengalaman dalam bidang TI, teknologi, jaringan minimal 3 tahunMemahami dan menguasai segala yang berhubungan dengan computer (memperbaiki jaringan computer yang bermasalah) melakukan instalasi dan konfigurasi ulang software pada perangkat server, user, firewall dan anti virus.Melakukan perbaikan/recovery konfigurasi pada perangkat jaringan apabila diperlukan (ydm. Router, switch, access point, print server, printer).Mampu/memiliki pengalaman membuat konten di berbagai media sosialPenempatan JakartaTanggung jawab :Memperbaharui Sistem  Operasi Windows Server pada server secara rutin (Windows Update)Menjalankan dan memantau proses Scan Virus pada server(windows security).Menjalankan dan memantau proses backup Server harian  (Windows Server Backup)Melakukan recovery file, aplikasi, volume atau system state apabila diperlukanMelakukan failcover pada sistem Backup Replication apabila diperlukanMemperbaiki error sistem operasi dan aplikasi server pada perangkat server dan user.Melakukan perbaikan/recovery konfigurasi pada perangkat jaringan apabila diperlukan (ydm. Router, switch, access point, print server, printer).Memperbaharui Sistem  Operasi Windows Server pada server secara rutin (Windows Update)Menjalankan dan memantau proses Scan Virus pada server(windows security).Menjalankan dan memantau proses backup Server harian  (Windows Server Backup)Melakukan recovery file, aplikasi, volume atau system state apabila diperlukanMelakukan failcover pada sistem Backup Replication apabila diperlukanMelakukan perbaikan/recovery konfigurasi pada perangkat jaringan apabila diperlukan (ydm. Router, switch, access point, print server, printer)."
Customer Service (Internship),PT OASE TEKNOLOGI ASIA,Jakarta Utara,Not specified,Full time,2 hari yang lalu,https://id.jobstreet.com/id/job/83942878?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/d92c78c0-4908-4dc5-afa6-7f9e0861fc8f.1/serpLogo,"Tanggung JawabMenangani pertanyaan dan keluhan pelangganMemberikan informasi tentang produk dan jasa perusahaanMengelola pengembalian dan tukar barangMeningkatkan kepuasan pelanggan melalui pelayanan yang baikBekerja sama dengan tim lain untuk memastikan kepuasan pelangganKualifikasiSemester akhir / yang baru lulus dipersilahkan melamarUsia maks 25 thnBerpenampilan rapi dan menarikCekatan, dan mudah beradaptasi dengan lingkungan baruKemampuan komunikasi yang baik dan ramahKemampuan untuk bekerja di bawah tekanan & bekerja sama dengan timWFO ( SENIN - JUMAT / 08.30 - 17.30)Penempatan Landmark Pluit - Jakarta UtaraBISA CEPAT BERGABUNG"
ICT supervisor,PT. Selaras Citra Nusantara Perkasa Tbk.,Cileungsi,Not specified,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84337094?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/9e8a22b0-00b9-4473-86f5-1b5fb3140809.1/serpLogo,"Gambaran Umum PekerjaanPT. Selaras Citra Nusantara Perkasa Tbk., sebuah perusahaan Manufaktur Home Appliances dan Medical Device di Indonesia, sedang mencari seorangICT Supervisoryang handal untuk bergabung dengan tim kami di kantor pusat kami di Cileungsi, Bogor. Sebagai ICT Supervisor, Anda akan memainkan peran kunci dalam mengawasi dan mengelola operasi teknologi informasi dan komunikasi perusahaan, memastikan kelancaran proses bisnis dan kepuasan karyawan.Tanggung Jawab UtamaMengawasi dan mengoordinasikan tim dukungan IT untuk memastikan penanganan insiden, permintaan, dan masalah TI secara efisien dan tepat waktu.Mengidentifikasi dan menerapkan solusi TI yang inovatif untuk meningkatkan produktivitas, keamanan, dan efisiensi operasional.Mengelola dan memperbarui infrastruktur TI, termasuk perangkat keras, perangkat lunak, dan jaringan, untuk memastikan keandalan dan ketersediaan yang konsisten.Berkoordinasi dengan pemangku kepentingan lain untuk memahami kebutuhan dan mengembangkan rencana strategis TI yang selaras dengan tujuan bisnis perusahaan.Memantau dan melaporkan kinerja layanan TI, mengidentifikasi area perbaikan, dan menerapkan langkah-langkah perbaikan yang diperlukan.Memastikan kepatuhan terhadap kebijakan, prosedur, dan standar TI perusahaan.Memberikan pelatihan dan dukungan untuk meningkatkan pengetahuan dan keterampilan tim dukungan TI.Keterampilan, Kualifikasi, dan Pengalaman yang DibutuhkanGelar sarjana dalam bidang Teknologi Informasi, Sistem Informasi, atau bidang terkait.Minimum 5 tahun pengalaman dalam peran dukungan IT atau pengawasan IT, lebih disukai di lingkungan perusahaan besar.Pemahaman yang kuat tentang infrastruktur TI, jaringan, keamanan, dan layanan dukungan.Kemampuan pemecahan masalah, analitis, dan pengambilan keputusan yang baik.Menguasai algoritma pemogramanKeterampilan kepemimpinan dan manajemen tim yang terbukti.Pengetahuan yang sangat baik tentang technical management, information analysis and of computer hardware/software systems.Pengalaman dalam mengembangkan dan menerapkan solusi IT yang inovatif.Manguasai Keahlian dalam manajemen data center dan tata kelola data.Menguasi system komputer dan SAP SytemManfaat Utama PerusahaanGaji kompetitif dan tunjangan yang menarik.Kesempatan untuk berkembang dalam peran kepemimpinan dan manajerial.Lingkungan kerja yang dinamis dan kolaboratif dengan kesempatan untuk berinovasi.Program pengembangan karier yang komprehensif untuk mendukung pertumbuhan profesional.Jika Anda tertarik untuk bergabung dengan tim kami yang bersemangat, lamar sekarang!"
Account Executive,PT. Duta Teknologi Nusantara,Tangerang,Rp 5.333.333 – Rp 8.000.000 per month,Full time,6 hari yang lalu,https://id.jobstreet.com/id/job/84217039?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/12ed1d9c-71ec-4107-b50c-dd95fd97d5da.1/serpLogo,"Dibutuhkan Account Executive/Account Manager ! FRESHGRADUATE WELCOME TO APPLY!Apa yang Kami Tawarkan:Gaji pokok+komisi yang kompetitifPelatihan dan pengembangan karirLingkungan kerja yang dinamis dan mendukungKesempatan untuk bekerja dengan produk yang inovatifTanggung Jawab:Membangun dan menjaga hubungan dengan klienMampu mengidentifikasi peluangHandle sales secara end to endMenjual produk dan layanan kamiMembantu mencapai target penjualan bulananKualifikasi:Freshgraduate is welcome to apply!Komunikatif dan memiliki kemampuan negosiasi yang baikBerorientasi pada target dan memiliki inisiatif tinggiKemampuan untuk bekerja secara mandiri maupun dalam timBerpenampilan rapi, energic dan percaya diriMemiliki Minimal 3 Active Account"
Staf R&D,PT Ace Wija Internasional,Pal Merah,Not specified,Full time,18 jam yang lalu,https://id.jobstreet.com/id/job/83692207?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/b334b348-07a9-4e7a-83a5-a616b5451bca.1/serpLogo,"KesempatanKami sedang mencari kandidat yang berpengalaman untuk bergabung dengan tim Penelitian dan Pengembangan kami di PT Ace Wija Internasional. SebagaiStaf R&D, Anda akan memainkan peran kunci dalam mengembangkan dan menyempurnakan produk makanan kami yang inovatif. Kandidat yang ideal memiliki keahlian teknis dan kreativitas untuk membantu kami mewujudkan visi produk baru yang sesuai dengan kebutuhan pelanggan kami.Tanggung JawabMelakukan penelitian pasar dan analisis tren konsumen untuk mengidentifikasi peluang produk baruMerancang dan menguji prototipe produk baru, serta mengevaluasi kelayakan produksiMengembangkan dan menyempurnakan formula, rasa, tekstur, dan karakteristik produk untuk memenuhi standar kualitasBekerjasama dengan tim Pemasaran dan Operasional untuk memastikan peluncuran produk yang lancarMemonitor kinerja produk di pasar dan memberikan rekomendasi untuk pengembangan selanjutnyaMenjaga kepatuhan terhadap peraturan dan standar keamanan pangan yang berlakuPersyaratanGelar sarjana di bidang Teknologi Pangan, Kimia Pangan, atau bidang terkaitMinimum 1 tahun pengalaman di bidang Penelitian & Pengembangan produk panganPemahaman mendalam tentang proses pengembangan produk, uji coba, dan sertifikasiMenguasai teknik analisis dan pengujian produk panganMemiliki rasa ingin tahu yang kuat, kreativitas, dan kemampuan problem-solvingKemampuan berkomunikasi yang baik dan keterampilan presentasi yang kuatKemahiran dalam menggunakan perangkat lunak terkait R&D, seperti alat formulasi dan analisis dataPemahaman operasional pabrik industri makanan dan minumanBersedia melakukan test sensory minuman beralkohol.Terbiasa dan bisa minum minuman beralkoholTentang KamiPT Ace Wija Internasional adalah perusahaan pangan terkemuka di Indonesia yang memproduksi berbagai makanan dan minuman inovatif. Dengan fokus pada kualitas, keamanan, dan keberlanjutan, kami berkomitmen untuk menawarkan produk yang memenuhi kebutuhan pelanggan kami. Tim Penelitian dan Pengembangan kami adalah jantung dari inovasi kami, dan kami selalu mencari talenta-talenta baru yang dapat membawa ide-ide segar dan berdampak positif bagi bisnis kami.Jika Anda tertarik untuk bergabung dengan tim kami, silakan lamar sekarang!"
Marketing Assistant,PT Adimas Isolasitama,Jakarta Pusat,Rp 6.000.000 – Rp 7.000.000 per month,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84335579?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/c0cb35a9-ad9b-4750-b13b-da4689ba3d65.1/serpLogo,"About usBerdiri sejak tahun 1994, PT Adimas Isolasitama merupakan Perusahaan yang spesialis dalam bidang insulasi untuk bangunan, pendingin udara (air conditioning), dan kebutuhan industri. Sebagai penyedia solusi produk insulasi, kami berkomitmen untuk memberikan produk yang berkualitas, harga yang kompetitif, dan pelayanan purna jual bagi pelanggan. PT Adimas Isolasitama memegang kepercayaan sebagai distributor resmi, baik yang sifatnya tunggal maupun agen terpilih dari berbagai produk insulasi terbaik. PT Adimas Isolasitama juga menerapkan seleksi ketat pada produk, serta memastikan manufaktur dan pengadaan merek yang lulus uji. Produk PT Adimas Isolasitama dibuat menggunakan teknologi mutakhir dan berstandar kualitas terbukti - termasuk untuk persyaratan spesifikasi internasional demi investasi jangka panjang Anda.Qualifications & experience :Pendidikan minimal S1 Teknik apapun.Berpengalaman min. 1 tahun dibidang marketing.Bekerja dengan target.Menguasai Microsoft Office, terutama excel.Memiliki kemampuan komunikasi yang baik dan mampu menjalin relasi yang luas.Memiliki SKCK Terupdate.Bersedia ditempatkan di Mangga Dua, Jakarta PusatTasks & responsibilities :Menjalankan kegiatan presentasi sebagai bentuk promosi (memperkenalkan produk) dan komunikasi penjualan kepada para pelanggan dan calon pelanggan secara efektif.Melakukanfollow updan negosiasi produk kepada customer.Menjalin hubungan baik dengan customer.Memberikan dukungan kepada tim penjualan untuk proyek-proyek yang sedang berjalan dan yang akan datang bila diperlukan.Membuat Laporan kerja."
Process Engineer,PT Halimjaya Sakti (Ando Footwear),Gempol,Not specified,Kontrak/Temporer,4 hari yang lalu,https://id.jobstreet.com/id/job/84274935?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/f3bd2940-5f66-47b3-8606-b45a66d413e3.1/serpLogo,"Tanggung Jawab (Process Engineering in shoe manufacturing):Evaluasi dan mengoptimalkan proses produksi untuk menghasilkan sepatu yang  berkualitas, dengan efisien dan konsisten.Analisa flow/proses-proses kerja, berinovasi, implemen metode-metode baru, kolaborasi dengan pihak-pihak terkait.Identifikasi hambatan-hambatan/bottleneck dan mencari solusi.Evaluasi dan kembangkan SOP proses-proses produksi.Riset metode-metode produksi terkini / best practices, teknologi-teknologi baru, otomatisasi, AI.Melakukan tes & trial material/bahan dan proses produksi.Melatih tim produksi tentang proses produksi, safety, kualitas.Monitor KPI produksi.Lokasi kerja adalah di Gempol, Pasuruan (45 menit dari Surabaya).Kualifikasi:Lulusan S1 di bidang Teknik Industri, Teknik Mesin dan semacamnya.Pengalaman min. 3 th di bidang Process Engineering, terutama di pabrik sepatu atau semacamnya.Skill dan keahlian di optimalisasi, analisa produksi, lean manufacturing dan semacamnya.Terbiasa melakukan problem-solving.Kemampuan berkomunikasi dengan baik dan jelas.Selalu belajar dan mampu bekerjasama dengan baik."
