Title,Company,Location,Salary,JobType,DatePosted,URL,CompanyLogo,Description
Desk Collection,PT Smartec Teknologi Indonesia,Jakarta Selatan,Rp 5.396.761 – Rp 7.500.000 per month,Kontrak/Temporer,54 menit yang lalu,https://id.jobstreet.com/id/job/84715896?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/66f5f0cc-cdd5-42bf-b0aa-0708ee026355.1/serpLogo,"Deskripsi Pekerjaan:Mendiagnosis dan menyelesaikan masalah pembayaran pinjaman nasabahMenghubungi nasabah sebelum atau pada tanggal jatuh tempo sebagai pengingat pembayaranMenghubungi nasabah yang menunggak setelah tanggal jatuh tempo sebagai tuntutan pembayaranMeminimalkan kerugian akibat tunggakan pembayaran dan memaksimalkan efektivitas penagihan kredit dengan menegosiasikan tenggat waktu pelunasan atau rencana pembayaran dengan nasabahMembantu nasabah dalam prosedur pembayaran dan menyediakan informasi yang diperlukanMengambil inisiatif untuk membuat strategi penagihan yang efektifMencatat setiap aktivitasbillingdi sistembillingKualifikasi:Minimal lulusan SMA atau sederajatMemiliki pengalaman minimal 1 tahun sebagai Desk Collection di perusahaan Financial Technology (Lulusan baru di persilahkan)Menguasai produk-produk Microsoft Office, terutama ExcelBerorientasi pada pencapaian targetMemiliki kemampuan komunikasi yang baikDisiplin dan memiliki sikap yang baikMemiliki keinginan untuk berkembangMemiliki kemampuan negosiasi yang baik"
Customer Care,PT Sepulsa Teknologi Indonesia (Jakarta),Jakarta Selatan,Not specified,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84683038?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/9aa7d200-8e34-4da5-94e9-bab6ccdb0297.1/serpLogo,"Position Summary:Customer care agents are responsible for providing helpful information, answering questions, responding and resolving partners' complaints accurately and in a timely manner to ensure partners are satisfied with products, services and features. CC T1 team also acts as the first-line support or denotes basic technical or non-technical support functions to provide the best customer experience.Core Responsibility:Handle partners complaints, provide appropriate solutions and alternatives within the agreed SLA as stated in SOP,  follow up to ensure resolution.Monitor the consumer tickets system or dashboard, including entering data onto various Navigation IT systemsMake a complaint report or partner request.Maintain confidentiality partners privacy including complaints or requests from partners.Establish good communication with partners.Updating FAQ or T1 Problem Category to improve service excellencePosition Requirement:Min. Diploma (D3) degree from any major3-4 year experience of relevant fieldPrior customer service or call center experience is a plusStrong technical knowledge related to the company's products or servicesExcellent communication skills, including the ability to explain technical information clearly and understandably.Exceptional problem-solving skills with the ability to handle complex issues"
Market Research and Strategy,PT PGAS Telekomunikasi Nusantara,Jakarta Barat,Rp 5.600.000 – Rp 7.000.000 per month,Kontrak/Temporer,2 jam yang lalu,https://id.jobstreet.com/id/job/84711962?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/40fb0fe6-c398-4561-a3e3-7eeb7aa2d29d.1/serpLogo,"Job DescriptionMelakukan penelitian pasar komprehensif untuk memahami dinamika industri, perilaku konsumen, dan tren pasar yang relevan.Mengumpulkan, menganalisis, dan menafsirkan data pasar untuk mengidentifikasi wawasan, peluang, dan rekomendasi strategis.Merancang, menerapkan studi pasar dan menganalisa kinerja komersial diantaranya survei konsumen, survei pasar, menyusun laporan, FGD dengan pelanggan dan calon potensial pelanggan.Menyusun laporan dan presentasi yang jelas dan terperinci untuk mengomunikasikan temuan dan rekomendasi kepada pemangku kepentingan.Berkolaborasi dengan tim pemasaran, penjualan, dan pengembangan produk untuk menginformasikan strategi dan inisiatif bisnis.Menganalisa pasar : Market size pertumbuhan, tren dan segmentasi pasar.Competitiveness identification : Produk, harga, market demand dan preferensi pasar.Memantau tren pasar, pesaing, dan perkembangan industri untuk mengidentifikasi peluang dan ancaman baru.Keterampilan dan Kualifikasi yang DibutuhkanGelar sarjana dalam bidang Pemasaran, Manajemen Bisnis, Ekonomi, atau bidang terkait.Minimal 2 tahun pengalaman dalam peran penelitian pasar.Kemampuan analitis yang kuat, dengan pemahaman yang mendalam tentang metode penelitian kuantitatif dan kualitatif.Keterampilan komunikasi yang luar biasa, baik tertulis maupun lisan, untuk menyajikan wawasan yang kompleks dengan jelas dan meyakinkan.Kemahiran dalam menggunakan perangkat lunak analitik, seperti Excel, SQL, dan alat visualisasi data.Pengetahuan tentang industri telekomunikasi dan tren teknologi yang relevan.Kemampuan bekerja secara mandiri dan dalam tim untuk menyelesaikan proyek dengan tenggat waktu yang ketat.Tentang KamiPT PGAS Telekomunikasi Nusantara adalah penyedia layanan telekomunikasi terkemuka di Indonesia, menyediakan solusi komunikasi yang andal dan inovatif untuk pelanggan ritel dan korporat. Didukung oleh jaringan fiber-optic yang luas dan tim ahli, kami berkomitmen untuk memperluas akses telekomunikasi di seluruh negeri. Perusahaan kami memiliki budaya yang mendukung kreativitas, kolaborasi, dan pengembangan profesional, dengan fokus yang kuat pada kepuasan pelanggan dan inovasi.Lamar sekarang untuk kesempatan yang menarik ini dan bergabung dengan tim kami di PT PGAS Telekomunikasi Nusantara."
Sales Admin,PT Xpert Teknologi Inovasi,Jakarta Selatan,Not specified,Full time,3 hari yang lalu,https://id.jobstreet.com/id/job/84617843?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/9d0b716c-a22e-4004-a39b-a14325e59f4f.2/serpLogo,Deskripsi Pekerjaan :Membuat Surat Jalan/Delivery OrderMembuat Invoice penjualanMembuat Faktur pajak via efakturMembuat Laporan stock barangHandle petty cashMembuat tanda terima invoiceMembuat PO/Purchase order kepada supplierMembuat Laporan penjualan dan pembelianRequirement :Lulusan D3/S1 Akuntasi/Keuangan/EkonomiBisa menggunakan dan memahami Efaktur PajakTeliti dan rapiBisa berkomunikasi dengan baik dengan client/SupplierPengalaman minimal 1 tahun dibidang yang sama
Document Control Staff,PT Surya Inti Aneka Pangan,Prambon,Rp 3.500.000 – Rp 4.500.000 per month,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84683616?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/024f3fa0-4357-4fd5-8d88-818d28d4d22f.2/serpLogo,"Kamu si Rapi dan Super Teliti? Yuk Jaga Dokumen Penting Perusahaan Bersama Kami!Kami,PT. Surya Inti Aneka Pangan, produsen kerupuk ikan & udang berskala nasional, sedang mencariDocument Control Staffyang siap memastikan seluruh dokumen penting perusahaan tersimpan, teratur, dan selalu siap digunakan kapan saja. Kandidat wajib dapat bekerja sesegera mungkin!Apa yang akan kamu lakukan?Menjaga sistem pengarsipan dan distribusi dokumen agar rapi dan sesuai prosedur.Mengelola dokumen digital dan fisik, lengkap dengan barcode dan sistem tracking internal.Mendukung proses audit dan regulasi, termasuk dokumen perijinan dan uji produk.Bekerja lintas divisi untuk memastikan semua versi dokumen selalu terkini.Siapa kamu?Lulusan Administrasi Perkantoran, Kearsipan, atau Manajemen yang suka dengan hal-hal detail.Sudah pernah pegang banyak dokumen dan terbiasa kerja dengan sistem digital.Paham alur dokumen ISO atau sistem mutu? Nilai tambah!Rapi, teliti, dan nggak mudah panik saat dikejar deadline dokumen.Apa yang kami tawarkan?Gaji kompetitif & peluang berkembang bersama tim profesional.Lingkungan kerja yang suportif dan penuh tantangan.Sistem kerja yang tertata & berbasis teknologi dokumen modern.Karena di balik perusahaan yang besar, selalu ada orang rapi yang tahu di mana semua dokumen berada. Bisa jadi kamu orangnya!"
Audit IT,PT INDOLIFE PENSIONTAMA,Jakarta Selatan,Not specified,Full time,3 hari yang lalu,https://id.jobstreet.com/id/job/84623690?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/e64836a5-2a9e-418d-a7fc-14d4a2e721e8.1/serpLogo,"Gambaran Umum PekerjaanKami sedang mencari Audit IT yang berpengalaman untuk bergabung dengan tim kami di PT INDOLIFE PENSIONTAMA, perusahaan asuransi terkemuka di Indonesia. Sebagai Audit IT, Anda akan memainkan peran penting dalam memastikan kepatuhan dan efektivitas sistem teknologi informasi perusahaan. Posisi ini cocok bagi individu yang memiliki keahlian teknis dan pemahaman yang kuat tentang praktik tata kelola dan manajemen risiko TI.Tanggung Jawab:Menganalisa Pengajuan program.Memeriksa pelaksanaan UAT sesuai prosedur yang berlaku.Memeriksa dokumentasi IT, system dan user applications.Memeriksa jadwal maintanance, backup , akses Server dan offsite backup.Memeriksa akses login user dan share data user.Memeriksa pengadaan barang IT.Melakukan pemeriksaan sesuai dengan SOP ,instruksi kerja, sasaran mutu yang ada dan sesuai jadwal yang telah ditetapkan.Memeriksa manajemen risiko IT.Mengawasi dan memeriksa pelaksaan IT terhadap peraturan OJK yang berlaku.Memberikan Rekomendasi dan mengawasi terhadap temuan yang muncul pada proses audit.Memberikan masukan kepada manajemen atas risiko-risiko yang masih ada dan saran penanganannya mengenai sistem informasi.Memberikan reasonable assurance bahwa sistem informasi telah sesuai dengan kebijakan atau prosedur yang ditetapkan.Memastikan bahwa kualitas database sistem asuransi, sistem akuntasi dan sistem Dana Pensiun sudah baik sinkron dengan data manual/fisik.Memeriksa pelaksanaan uji coba dari sistem DRC.Kualifikasi, dan Pengalaman yang DibutuhkanPendidikan minimal S1 KomputerPengalaman kerja minimal 5 TahunBerpengalaman minimal 1 tahun sebagai ProgrammerMemiliki Kemampuan Interpesonal skillMengerti Hardware dan softwareMengerti Manajemen Risiko ITMengerti Audit Sistem InformasiLebih disenangi yang memiliki sertifikat profesiManfaat Utama PerusahaanGaji kompetitif dan bonus tahunan yang menarik.Asuransi kesehatan yang komprehensif untuk karyawan dan keluarga.Cuti tahunan yang fleksibel dengan hak cuti tambahan.Kesempatan pengembangan karir yang luas dan program pelatihan yang komprehensif.Lingkungan kerja yang mendukung dan kolaboratif.Fasilitas kantor yang modern dan nyaman.Tentang PT INDOLIFE PENSIONTAMA'PT INDOLIFE PENSIONTAMA adalah perusahaan asuransi jiwa terkemuka di Indonesia yang telah berdiri sejak tahun 1991 dan berfokus pada memberikan solusi pensiun yang inovatif dan andal bagi individu maupun perusahaan. Dengan lebih dari 30 tahun pengalaman, kami berkomitmen untuk membantu klien kami mencapai tujuan keuangan jangka panjang mereka. Tim kami yang berdedikasi dan berwawasan luas terus berinovasi untuk menyediakan produk dan layanan terbaik dikelasnya.Jika Anda tertarik dengan peran ini dan memenuhi persyaratan yang dibutuhkan, silakan lamar sekarang!"
SALES ENGINEER,PT KURNIA SAFETY SUPPLIES,Kalimantan Timur,Rp 6.000.000 – Rp 8.000.000 per month,Full time,1 jam yang lalu,https://id.jobstreet.com/id/job/84714048?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/61cc347c-6131-4928-945a-17a4781ac860.1/serpLogo,"SALES ENGINEERLokasi: Balikpapan DAN SEKITARNYAKami mencari anggota SUPER TEAM ! Jadilah Sales Engineer diPT KURNIA SAFETY SUPPLIES, hanya jika anda:Memiliki kemampuan komunikasi & interpersonal skill yang baik;Mampu menganalisa kebutuhan customer & punya kemampuan problem solvingkhususnya di area Balikpapan dan sekitarnya;Memiliki kemampuan teknis & pengetahuan produk yang luas;Percaya diri & mampu melakukan presentasi;Memiliki pengetahuan dan koneksi yang baik dalam bidangAlat Pelindung Diri (APD);Memiliki Basic Customer Account dalam bidang Oil and Gas, Plantation, dan Manufacturing.Requirements:Pendidikan minimal S1 dan/atau S1 + Pendidikan Profesi - Jurusan Teknik (electrical engineering, biomedical engineering, mechanical engineering, dll) dan Kesehatan/Clinical Science (dokter, ners, apoteker, fisioterapis, teknologi laboratorium, dll);Usia maksimal 38 tahun;Memiliki pengalaman minimal 3 tahun di bidang penjualan (diutamakan bidang Alat Pelindung Diri);Mampu melakukan presentasi baik secara komersil maupun teknis produk;Bersedia melakukan perjalanan dinas;Terbiasa bekerja dengan aplikasi CRM dan SAP;Memiliki kemampuanberkomunikasi dalam bahasa inggris baiksecara verbal maupun lisan;Dapat menggunakan Microsoft Office (Ms. Word, Ms. Excel, Power Point dan Outlook);Berdomisili di area Balikpapan dan sekitarnya.Responsibilities:Bertanggung jawab untuk memperluas jaringan dan customer untuk meningkatkan target penjualan;Bertanggung jawab untuk memperkenalkan danmemasarkan produk Alat Pelindung Diri (APD)untuk meningkatkan target penjualan;Bertanggung jawab untuk menjalin dan mengembangkan relasi yang baik dengan customer;Memperluas pasar yang sudah ada;Mengidentifikasi dan menindaklanjuti prospek customer;Memahami spesifikasi teknis tiap-tiap produk khususnya produk-produk keselamatan kerja;Membuat jadwal kunjungan dan presentasi kepada customer untuk memberikan informasi, solusi dan konsultasi mengenai produk;Memberikan laporan aktivitas penjualan maupun canvasing yang telah ditetapkan.Benefits:Gaji Pokok menarik;Tunjangan Hari Raya keagamaan;Tunjangan Kerajinan;BPJS Kesehatan dan Ketenagakerjaan;Komisi bulanan & Incentive Tahunan;Penghargaan Tahunan bagi yang berprestasi;Annual Company Celebration;Annual Reward Trip berdasarkan kinerja perusahaan;Perhargaan 5 Tahun Kerja berupa koin emas asli untuk karyawan;6 hari kerja dalam seminggu, jatah 1 hari off sabtu sebulan sekali;Cuti Tahunan."
SENIOR SALES MANAGER,PT Kahar Duta Sarana,Jakarta Raya,Rp 25.000.000 – Rp 30.000.000 per month,Full time,6 hari yang lalu,https://id.jobstreet.com/id/job/84582989?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/b679cd48-3d5b-4346-9208-aa6ad82cbcd4.1/serpLogo,"Deskripsi Pekerjaan:Kami adalah perusahaan IT yang sedang berkembang pesat dan mencariSenior Sales Manageryang muda, energik, dan memiliki semangat tinggi untuk bergabung dengan tim kami. Sebagai Senior Sales Manager, Anda akan menjadi ujung tombak dalam mengembangkan strategi penjualan, memimpin tim, dan memastikan pencapaian target yang ambisius. Anda akan berperan penting dalam memasarkan solusi IT yang inovatif, membangun hubungan dengan klien, dan mendorong pertumbuhan bisnis di pasar yang kompetitif.Tanggung Jawab Utama:Mengembangkan dan menerapkan strategi penjualan yang efektif untuk meningkatkan penjualan solusi IT perusahaan.Memimpin, mengarahkan, dan memotivasi tim sales untuk mencapai target penjualan dan meningkatkan kinerja tim.Mengidentifikasi peluang pasar baru serta memperluas pangsa pasar di segmen bisnis IT.Melakukan negosiasi dengan calon klien dan mengelola seluruh proses penjualan dari awal hingga penutupan kontrak.Memantau dan menganalisis tren pasar, kompetitor, dan kebutuhan pelanggan untuk mengembangkan strategi penjualan yang tepat.Kualifikasi:Minimal 5 tahun pengalaman di posisi manajerial dalam bidang penjualan, terutama di industri IT atau teknologiMemiliki pengalaman pada solusi IT seperti Point of Sales (POS), Automatic Identification and Data Capture (AIDC) menjadi nilai plusKemampuan komunikasi dan presentasi baikPengalaman dalam memimpin tim sales dan memotivasi tim"
Junior IT Solution Engineer,PT Fusion Dinamika,Jakarta Barat,Rp 6.000.000 – Rp 8.000.000 per month,Full time,9 hari yang lalu,https://id.jobstreet.com/id/job/84498400?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/8d5d79da-4191-4caf-9f56-f1c30dc4785c.1/serpLogo,"Deskripsi Pekerjaan:Kami membuka kesempatan bagi Anda yang memiliki ketertarikan di bidang teknologi dan ingin berkembang menjadi profesional di bidang solusi IT. SebagaiJunior IT Solution Engineer / Technical Consultant, Anda akan bekerja sama dengan tim proyek dansenior engineeruntuk mendukung proses implementasi, analisis kebutuhan, dan pemecahan masalah teknis bagi pelanggan.Tanggung Jawab Utama:Mendukung tim proyek dalam pelaksanaan implementasi solusi teknologi.Berkolaborasi denganProject Managerdan tim teknis lainnya dalam menyelesaikan proyek.Membantu melakukan analisis kebutuhan bisnis pelanggan.Membantu dalam penyusunan dokumentasi teknis, proposal, dan presentasi.Mendukung kegiatan demo produk danproof of concept(PoC).Melakukan instalasi awal (deployment), uji coba, dan konfigurasi sistem.Memberikan dukungan teknis (support) dasar setelah implementasi.Membantu proses pelatihan pengguna terkait penggunaan teknologi.Melakukantroubleshootingawal terhadap kendala teknis yang muncul.Melaksanakan tugas tambahan yang diberikan oleh atasan atausenior engineer.Kualifikasi:Lulusan S1/D3 di bidang Teknik Informatika, Sistem Informasi, atau jurusan relevan (fresh graduatedipersilakan melamar).Memiliki dasar yang baik dalam konsep sistem informasi, jaringan, atau pengembangansoftware.Mampu berkomunikasi dengan baik dan siap bekerja dalam tim.Teliti, mau belajar, dan mampu mengikuti arahan teknis dari atasan.Pengalaman magang atau proyek kampus di bidang IT menjadi nilai tambah.Bersedia melakukan perjalanan dinas bila dibutuhkan.Benefit:Gaji kompetitif untuk posisientry-levelTunjangan kesehatan dan transportasiBimbingan langsung darisenior engineerPelatihan internal dan sertifikasi profesional (bila tersedia)Lingkungan kerja kolaboratif dan mendukung pengembangan karier"
Head of IT (EDP),PT Solo Murni,Jawa Tengah,Not specified,Full time,13 hari yang lalu,https://id.jobstreet.com/id/job/84402489?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/79e23ffe-6fda-402f-8edb-e4db448e2838.1/serpLogo,"PENDIDIKAN :S2/Magister dalam bidang Information Systems atau Computer Science atau Teknik Informatika atau sejenisnya dengan S1/Sarjana dalam bidang Manajemen Bisnis, atau sejenisnya.S2/Magister dalam bidang Manajemen Bisnis , atau sejenisnya dengan S1/Sarjana dalam bidang Information Systems atau Computer Science atau Teknik InformatikaS1/Sarjana dalam bidang Information Systems atau Computer Science atau Teknik Informatika atau sejenisnya dengan 10+ tahun pengalaman dalam area IT Systems.PENGALAMAN KERJA7-10 tahun pengalaman bekerja dalam area IT solutions implementation and support. Poin plus jika berpengalaman dalam area tersebut di perusahaan manufaktur, logistik/distribusi, atau FMCGMemiliki pengalaman dalam systems analysis : architecture & system design dan ERP / IT systems implementationMemiliki pengalaman dalam business analysis & project management : business requirement gathering, digital transformation, technology leadership, change management.Memiliki pengalaman dalam pengembangan frontend dan backend sebuah aplikasi serta data migrationMemiliki jiwa berkepemimpinan, inisiatif tinggi, dan mampu bekerja sama dalam tim.Penempatan Boyolali Jawa TengahRINGKASAN PEKERJAANMengelola dan memelihara sistem TI perusahaan, termasuk perangkat keras, perangkat lunak, dan infrastruktur jaringanMemberikan dukungan teknis dan pelatihan kepada staf, membantu mereka memanfaatkan sumber daya teknologi perusahaan secara efektifMengelola dan mengawasi pekerjaan staf pendukung TI, memastikan penyelesaian masalah terkait TI yang tepat waktu dan efektif Tetap mengikuti perkembangan tren dan teknologi industri terkini, dan membuat rekomendasi untuk perbaikan dan pemutakhiranMengelola anggaran TI dan mengawasi pengadaan peralatan dan layanan TI"
